2015-12-10 23:59:48,Scientists link UK storm to man-made global warming: https://t.co/j8WHlF7kHX #ClimateChange,"[33.802064, -84.217113]"
2015-12-10 23:59:48,At the Atlantis Gateway Skating Rink in Greenacres - suburb of Lake Worth. I am the Santa Claus… https://t.co/zZIYcLWz5R,"[26.6299305, -80.144577]"
2015-12-10 23:59:47,Tb to last weekend when I wasn't crying because of finals with bae @… https://t.co/UUbCo9yBId,"[37.2299, -80.4177]"
2015-12-10 23:59:47,#disneyworld with #shakorijeffrey @ Disney's Hollywood Studios https://t.co/9jeX1F19eN,"[28.35785666, -81.55890096]"
2015-12-10 23:59:46,"doing what I gotta do #trainerlife #newcity #MJMfitness || H U S T L E || @ Miami Beach, Florida https://t.co/SZDQS2LHCZ","[25.813, -80.1341]"
2015-12-10 23:59:46,"Happy opening to the @ogunquitph production of White Christmas at @musichall! It's a lovely show,… https://t.co/GcXEnjp8gD","[43.0757294, -70.7596664]"
2015-12-10 23:59:45,"Checking out this space - looking good :) (@ Hub 55 in Cleveland, OH) https://t.co/Vost6tUCsd https://t.co/mbeZpNxXPY","[41.521198, -81.651344]"
2015-12-10 23:59:45,"“She makes me feel like a kid again” - Ace @ Chicago Heights, Illinois https://t.co/CHcQHYjiW9","[41.512, -87.6402]"
2015-12-10 23:59:45,"A needed distraction today... (at @HalePele in Portland, OR) https://t.co/hXc6xHnPP9","[45.53529149, -122.63737503]"
2015-12-10 23:59:43,"AA unit 173 responding to MVA near Hwy-41 Off Ramp Sb &amp; E Shaw Ave in Fresno
https://t.co/Ak5DJ6kwEJ","[36.8086, -119.78667]"
2015-12-10 23:59:43,"It's create your own parking space night! (@ Monroe Township Middle School in Monroe Township, NJ) https://t.co/DJsmfWiMgG","[40.32275149, -74.43730332]"
2015-12-10 23:59:43,#minion #timessquare #newyork @ Times Square – 42nd Street https://t.co/VFZIyBGrGu,"[40.756, -73.987]"
2015-12-10 23:59:43,Mixto Paella appetizers #paella #paellachef #thehungrycuban #chefjuan #bocaraton #palmbeach @… https://t.co/TSkibbj17i,"[26.371588, -80.18682]"
2015-12-10 23:59:42,"Want to work at https://t.co/wuZawN8MQs? We're #hiring in #Aurora, IL! Click for details: https://t.co/76zwpLzJBg https://t.co/CBYCvN7KR3","[41.7605849, -88.3200715]"
2015-12-10 23:59:59,Check out that hail! It sure is #stormy out here in #mckinleyville today! We still have power and… https://t.co/IE8gwVQApn,"[40.92599674, -124.10030348]"
2015-12-10 23:59:59,#azcardinals #minvsaz #bigred @ University of Phoenix Stadium https://t.co/6njSydAaHc,"[33.5280587, -112.26247636]"
2015-12-10 23:59:59,My new crosley cruiser portable turntable and some Christmas vinyl #crosley #crosleycruiser… https://t.co/UkhEI2mCLf,"[40.78988009, -74.00846438]"
2015-12-10 23:59:59,La Margherita with homemade fresh mozzarella #freshmozzarella #pomodoro #pizza #bp33 @ Brothers… https://t.co/KuOHfZtW0U,"[40.2296906, -74.6736679]"
2015-12-10 23:59:58,At the party #classy @ Crest Hollow Country Club https://t.co/TcrYpO3qcd,"[40.81811679, -73.465266]"
2015-12-10 23:59:58,Temp: 64.9°F | Humidity: 77% |  Wind: --- @ 0.0 mph | Barometer: 30.03 in | Dewpoint: 57.6°F #weather #tampabay,"[28.05833333, -82.32055556]"
2015-12-10 23:59:58,"19:00:01 |Temp: 55.8ºF | Wind Chill 55.8ºF |Dew Point 51.7ºF | Rain today: 0.00 inches | Wind: 0.0 mph from the WSW, Gusting to 0.0","[33.03916667, -83.07083333]"
2015-12-10 23:59:57,"I'm at Kroger in Dunwoody, GA https://t.co/X51utP56QX","[33.92247673, -84.31546569]"
2015-12-10 23:59:57,Straight outta Whoville. #RockinRams @ Trip Elementary School https://t.co/3h8eMNqmvi,"[33.8722458, -83.958168]"
2015-12-10 23:59:57,Too funny! 😊 #kilncreations #noblesville #paintyourownpottery #handprint #grinch #santa #cookies… https://t.co/0vYNeRdP6X,"[40.0462303, -86.0133438]"
